File;Type;ID;NEXP
NIRPS_2022-05-05T15_31_01_590.fits;DARK;NIRPS_HA_cal_dark;100
NIRPS_2022-05-05T15_40_24_489.fits;DARK;NIRPS_HA_cal_dark;100
NIRPS_2022-05-05T15_49_47_388.fits;DARK;NIRPS_HA_cal_dark;100
NIRPS_2022-05-05T15_59_10_285.fits;DARK;NIRPS_HA_cal_dark;100
NIRPS_2022-05-05T16_09_12_198.fits;LED,LAMP;NIRPS_gen_tec_LED;200
NIRPS_2022-05-05T16_28_37_014.fits;DARK;NIRPS_HA_cal_dark;10
NIRPS_2022-05-05T16_30_17_336.fits;LED,LAMP;NIRPS_gen_tec_LED;200
NIRPS_2022-05-05T16_49_42_151.fits;DARK;NIRPS_HA_cal_dark;10
NIRPS_2022-05-05T16_51_22_473.fits;LED,LAMP;NIRPS_gen_tec_LED;200
NIRPS_2022-05-05T17_10_47_290.fits;DARK;NIRPS_HA_cal_dark;10
NIRPS_2022-05-05T17_12_27_612.fits;LED,LAMP;NIRPS_gen_tec_LED;200
NIRPS_2022-05-05T17_31_52_429.fits;DARK;NIRPS_HA_cal_dark;10
NIRPS_2022-05-05T17_33_32_752.fits;LED,LAMP;NIRPS_gen_tec_LED;200
NIRPS_2022-05-05T17_52_57_568.fits;DARK;NIRPS_HA_cal_dark;10
NIRPS_2022-05-05T18_14_02_708.fits;DARK;NIRPS_HA_cal_dark;10
NIRPS_2022-05-05T18_15_43_030.fits;LED,LAMP;NIRPS_gen_tec_LED;200
NIRPS_2022-05-05T18_35_07_847.fits;DARK;NIRPS_HA_cal_dark;10
NIRPS_2022-05-05T18_36_48_170.fits;LED,LAMP;NIRPS_gen_tec_LED;200
NIRPS_2022-05-05T18_56_12_987.fits;DARK;NIRPS_HA_cal_dark;10
NIRPS_2022-05-05T19_18_58_450.fits;LED,LAMP;NIRPS_gen_tec_LED;200
NIRPS_2022-05-05T19_38_23_269.fits;DARK;NIRPS_HA_cal_dark;10
NIRPS_2022-05-05T19_40_03_591.fits;LED,LAMP;NIRPS_gen_tec_LED;200
NIRPS_2022-05-05T19_59_28_411.fits;DARK;NIRPS_HA_cal_dark;10
NIRPS_2022-05-05T20_01_08_734.fits;LED,LAMP;NIRPS_gen_tec_LED;200
NIRPS_2022-05-05T20_20_33_553.fits;DARK;NIRPS_HA_cal_dark;10
NIRPS_2022-05-05T20_22_13_876.fits;LED,LAMP;NIRPS_gen_tec_LED;200
NIRPS_2022-05-05T20_41_38_695.fits;DARK;NIRPS_HA_cal_dark;10
NIRPS_2022-05-05T20_43_19_017.fits;LED,LAMP;NIRPS_gen_tec_LED;200
NIRPS_2022-05-05T21_02_38_257.fits;DARK;NIRPS_HA_cal_dark;10
NIRPS_2022-05-05T21_04_18_580.fits;LED,LAMP;NIRPS_gen_tec_LED;200
NIRPS_2022-05-05T21_23_48_979.fits;DARK;NIRPS_HA_cal_dark;10
NIRPS_2022-05-05T21_25_29_302.fits;LED,LAMP;NIRPS_gen_tec_LED;200
NIRPS_2022-05-05T21_46_34_443.fits;LED,LAMP;NIRPS_gen_tec_LED;200
NIRPS_2022-05-05T22_06_04_842.fits;DARK;NIRPS_HA_cal_dark;10
NIRPS_2022-05-05T22_07_45_164.fits;LED,LAMP;NIRPS_gen_tec_LED;200
NIRPS_2022-05-05T22_27_09_983.fits;DARK;NIRPS_HA_cal_dark;10
NIRPS_2022-05-05T22_48_15_124.fits;DARK;NIRPS_HA_cal_dark;10
NIRPS_2022-05-05T22_49_55_447.fits;LED,LAMP;NIRPS_gen_tec_LED;200
